anime_id,name,genre,type,episodes,rating,members,images,videos
32281,Kimi no Na wa.,"Drama, Romance, School, Supernatural",Movie,1,9.37,200630,image/movies/2022/03/m1.png,https://www.youtube.com/embed/NooIc3dMncc
5114,Fullmetal Alchemist: Brotherhood,"Action, Adventure, Drama, Fantasy, Magic, Military, Shounen",TV,64,9.26,793665,image/movies/2022/03/m2.png,https://www.youtube.com/embed/-GoNo0DGroU
28977,Gintama°,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",TV,51,9.25,114262,image/movies/2022/03/m3.png,https://www.youtube.com/embed/GWeuZr6fT6o
9253,Steins;Gate,"Sci-Fi, Thriller",TV,24,9.17,673572,image/movies/2022/03/m4.png,https://www.youtube.com/embed/LwcTi86cFeg
9969,Gintama&#039;,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",TV,51,9.16,151266,image/movies/2022/03/m5.png,https://www.youtube.com/embed/GWeuZr6fT6o
32935,Haikyuu!!: Karasuno Koukou VS Shiratorizawa Gakuen Koukou,"Comedy, Drama, School, Shounen, Sports",TV,10,9.15,93351,image/movies/2022/03/m7.png,https://www.youtube.com/embed/bbyrTsvTyoU
11061,Hunter x Hunter (2011),"Action, Adventure, Shounen, Super Power",TV,148,9.13,425855,image/movies/2022/03/m8.png,https://www.youtube.com/embed/nboMpI9vOhI
820,Ginga Eiyuu Densetsu,"Drama, Military, Sci-Fi, Space",OVA,110,9.11,80679,image/movies/2022/03/m9.png,https://www.youtube.com/embed/Sr_Ri6a3MPE
15335,Gintama Movie: Kanketsu-hen - Yorozuya yo Eien Nare,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",Movie,1,9.1,72534,image/movies/2022/03/m10.png,https://www.youtube.com/embed/UhJM5rVqaF8
15417,Gintama&#039;: Enchousen,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",TV,13,9.11,81109,image/movies/2022/03/m11.png,https://www.youtube.com/embed/GWeuZr6fT6o
4181,Clannad: After Story,"Drama, Fantasy, Romance, Slice of Life, Supernatural",TV,24,9.06,456749,image/movies/2022/03/m12.png,https://www.youtube.com/embed/j_Ho5K6pS-A
28851,Koe no Katachi,"Drama, School, Shounen",Movie,1,9.05,102733,image/movies/2022/03/m13.png,https://www.youtube.com/embed/b_ePl3_RpJ0
918,Gintama,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",TV,201,9.04,336376,image/movies/2022/03/m14.png,https://www.youtube.com/embed/GWeuZr6fT6o
2904,Code Geass: Hangyaku no Lelouch R2,"Action, Drama, Mecha, Military, Sci-Fi, Super Power",TV,25,8.98,572888,image/movies/2022/03/m15.png,https://www.youtube.com/embed/gY98EYPVKvo
28891,Haikyuu!! Second Season,"Comedy, Drama, School, Shounen, Sports",TV,25,8.93,179342,image/movies/2022/03/m16.png,https://www.youtube.com/embed/ByXuk9QqQkk
199,Sen to Chihiro no Kamikakushi,"Adventure, Drama, Supernatural",Movie,1,8.93,466254,image/movies/2022/03/m17.png,https://www.youtube.com/embed/KFbqrwpm-js
23273,Shigatsu wa Kimi no Uso,"Drama, Music, Romance, School, Shounen",TV,22,8.92,416397,image/movies/2022/03/m18.png,https://www.youtube.com/embed/3aL0gDZtFbE
24701,Mushishi Zoku Shou 2nd Season,"Adventure, Fantasy, Historical, Mystery, Seinen, Slice of Life, Supernatural",TV,10,8.88,75894,image/movies/2022/03/m19.png,https://www.youtube.com/embed/Go7E5Pmjbsc
12355,Ookami Kodomo no Ame to Yuki,"Fantasy, Slice of Life",Movie,1,8.84,226193,image/movies/2022/03/m20.png,https://www.youtube.com/embed/ed1xwAtF728
1575,Code Geass: Hangyaku no Lelouch,"Action, Mecha, Military, School, Sci-Fi, Super Power",TV,25,8.83,715151,image/movies/2022/03/m21.png,https://www.youtube.com/embed/v-AGjx0N24U
